global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
488,middle,??,0,0,0,0.0,0.0,1.1269718725428661,5.8620434557967815,0.9242281026952205,0.18906326554038308,7227,middle,,,,1.0132008863724526,5.791839311373477,0.8717468734591192,7235,middle,1.1971760169661712,5.748272469626368,0.9414742787891874,7225,middle,1.24074285871328,5.932247600220087,0.9544037354971927,7224,middle,1.0567677281195613,5.975814441967196,0.8769093695810068,758,middle
489,middle,??,1,0,1,0.5,0.0,1.3109470031365846,5.818476614049673,0.946945000525119,0.18906326554038308,7226,middle,,,,1.197176016966171,5.748272469626368,0.9414742787891875,7225,middle,1.3811511475598894,5.704705627879259,0.9188452981740524,701,middle,1.4247179893069983,5.888680758472979,0.9301036707139971,7223,middle,1.2407428587132798,5.932247600220087,0.9544037354971927,7224,middle
490,middle,??,2,0,2,1.0,0.0,1.4949221337303031,5.774909772302564,0.879395580215816,0.18906326554038308,699,middle,,,,1.3811511475598897,5.704705627879259,0.9188452981740522,701,middle,1.5651262781536082,5.66113878613215,0.7968213957606471,703,middle,1.608693119900717,5.845113916725869,0.8053380437532331,696,middle,1.4247179893069986,5.888680758472979,0.9301036707139969,7223,middle
491,middle,??,3,1,0,0.0,0.07692307692307693,1.170538714289975,6.046018586390501,0.9359675970967407,0.18906326554038308,7236,middle,,,,1.0567677281195613,5.975814441967196,0.8769093695810068,758,middle,1.24074285871328,5.932247600220087,0.9544037354971927,7224,middle,1.284309700460389,6.116222730813806,0.9646143735366766,7237,middle,1.1003345698666704,6.159789572560915,0.8853513869569769,759,middle
492,middle,??,4,1,1,0.5,0.07692307692307693,1.3545138448836935,6.002451744643392,0.9592309472773644,0.18906326554038308,7222,middle,,,,1.2407428587132798,5.932247600220087,0.9544037354971927,7224,middle,1.4247179893069983,5.888680758472979,0.9301036707139971,7223,middle,1.4682848310541072,6.072655889066698,0.9411762823566393,7219,middle,1.2843097004603887,6.116222730813806,0.9646143735366766,7237,middle
493,middle,??,5,1,2,1.0,0.07692307692307693,1.538488975477412,5.958884902896283,0.8901882354423425,0.18906326554038308,698,middle,,,,1.4247179893069986,5.888680758472979,0.9301036707139969,7223,middle,1.608693119900717,5.845113916725869,0.8053380437532331,696,middle,1.652259961647826,6.029089047319588,0.8158574901759231,695,middle,1.4682848310541075,6.072655889066698,0.9411762823566391,7219,middle
494,middle,??,6,2,0,0.0,0.15384615384615385,1.214105556037084,6.229993716984219,0.9411967244145236,0.18906326554038308,761,middle,,,,1.1003345698666704,6.159789572560915,0.8853513869569769,759,middle,1.284309700460389,6.116222730813806,0.9646143735366766,7237,middle,1.3278765422074978,6.300197861407525,0.9741520897904274,764,middle,1.1439014116137791,6.343764703154633,0.8835375554041847,859,middle
495,middle,??,7,2,1,0.5,0.15384615384615385,1.3980806866308024,6.18642687523711,0.9668190054070618,0.18906326554038308,7221,middle,,,,1.2843097004603887,6.116222730813806,0.9646143735366766,7237,middle,1.4682848310541072,6.072655889066698,0.9411762823566393,7219,middle,1.5118516728012161,6.256631019660416,0.951227463781335,7218,middle,1.3278765422074976,6.300197861407525,0.9741520897904273,764,middle
496,middle,??,8,2,2,1.0,0.15384615384615385,1.582055817224521,6.142860033490002,0.8990662611368574,0.18906326554038308,7220,middle,,,,1.4682848310541075,6.072655889066698,0.9411762823566391,7219,middle,1.652259961647826,6.029089047319588,0.8158574901759231,695,middle,1.6958268033949349,6.2130641779133065,0.8121582384934111,695,middle,1.5118516728012164,6.256631019660416,0.9512274637813349,7218,middle
497,middle,??,9,3,0,0.0,0.23076923076923078,1.2576723977841926,6.413968847577937,0.9598783905660788,0.18906326554038308,762,middle,,,,1.1439014116137791,6.3437647031546325,0.8835375554041849,859,middle,1.3278765422074976,6.300197861407524,0.9741520897904274,764,middle,1.3714433839546065,6.484172992001243,1.001498922832772,765,middle,1.1874682533608878,6.527739833748352,0.9115274555442587,855,middle
