global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
425,index,??,0,0,0,0.0,0.0,2.500511711104024,5.773690076285293,0.8675969452831044,0.18906326554038308,1059,index,,,,2.3816965737479308,5.712408575622781,0.8112021158226599,1061,index,2.5617932117665347,5.654874938929198,0.8837596030133752,1060,index,2.6193268484601178,5.834971576947803,0.9009000471351728,1056,index,2.439230210441514,5.892505213641386,0.8212301484903962,1119,index
426,index,??,1,0,1,0.5,0.0,2.6806083491226285,5.7161564395917095,0.893252189101974,0.18906326554038308,933,index,,,,2.5617932117665347,5.654874938929198,0.8837596030133752,1060,index,2.741889849785139,5.597341302235615,0.8623910724273629,935,index,2.799423486478722,5.77743794025422,0.88127076597282,936,index,2.619326848460118,5.834971576947803,0.9009000471351729,1056,index
427,index,??,2,0,2,1.0,0.0,2.860704987141233,5.658622802898127,0.8238597598621167,0.18906326554038308,937,index,,,,2.741889849785139,5.597341302235615,0.8623910724273629,935,index,2.9219864878037436,5.539807665542032,0.7369893834705044,6677,index,2.979520124497326,5.719904303560637,0.7525264175989718,940,index,2.799423486478722,5.77743794025422,0.88127076597282,936,index
428,index,??,3,1,0,0.0,0.1,2.5580453477976075,5.953786714303897,0.8869699573056009,0.18906326554038308,1058,index,,,,2.4392302104415133,5.892505213641385,0.821230148490396,1119,index,2.6193268484601178,5.834971576947802,0.9009000471351727,1056,index,2.676860485153701,6.015068214966407,0.9223053050204983,1055,index,2.496763847135097,6.07260185165999,0.8330714321886652,1120,index
429,index,??,4,1,1,0.5,0.1,2.7381419858162115,5.8962530776103135,0.9133991055996467,0.18906326554038308,1057,index,,,,2.6193268484601178,5.834971576947802,0.9009000471351727,1056,index,2.799423486478722,5.777437940254219,0.8812707659728198,936,index,2.856957123172305,5.957534578272824,0.9035616970077538,1054,index,2.676860485153701,6.015068214966407,0.9223053050204983,1055,index
430,index,??,5,1,2,1.0,0.1,2.918238623834816,5.838719440916731,0.8458381397450633,0.18906326554038308,938,index,,,,2.799423486478722,5.777437940254219,0.8812707659728198,936,index,2.979520124497326,5.719904303560636,0.7525264175989714,940,index,3.0370537611909096,5.900000941579241,0.7777494280661825,941,index,2.856957123172305,5.957534578272824,0.9035616970077538,1054,index
431,index,??,6,2,0,0.0,0.2,2.6155789844911905,6.133883352322501,0.9004573325886184,0.18906326554038308,1122,index,,,,2.496763847135097,6.07260185165999,0.8330714321886652,1120,index,2.676860485153701,6.015068214966407,0.9223053050204983,1055,index,2.734394121847284,6.195164852985012,0.9323302746657346,1125,index,2.55429748382868,6.252698489678595,0.8455227378357375,1121,index
432,index,??,7,2,1,0.5,0.2,2.795675622509795,6.0763497156289175,0.9270969181164643,0.18906326554038308,1053,index,,,,2.676860485153701,6.015068214966407,0.9223053050204983,1055,index,2.856957123172305,5.957534578272824,0.9035616970077538,1054,index,2.9144907598658882,6.137631216291429,0.9147418731144744,1050,index,2.7343941218472843,6.195164852985012,0.9323302746657346,1125,index
433,index,??,8,2,2,1.0,0.2,2.975772260528399,6.018816078935335,0.8644609951610802,0.18906326554038308,939,index,,,,2.856957123172305,5.957534578272824,0.9035616970077538,1054,index,3.0370537611909096,5.900000941579241,0.7777494280661825,941,index,3.094587397884492,6.080097579597846,0.7953590939233516,942,index,2.9144907598658882,6.137631216291429,0.9147418731144744,1050,index
434,index,??,9,3,0,0.0,0.3,2.6731126211847736,6.313979990341106,0.9056720106074996,0.18906326554038308,1123,index,,,,2.55429748382868,6.252698489678595,0.8455227378357375,1121,index,2.734394121847284,6.195164852985012,0.9323302746657346,1125,index,2.7919277585408673,6.3752614910036165,0.9381275193835424,1126,index,2.6118311205222633,6.4327951276972,0.8465858119270596,1121,index
